id,tag,description,category_originale,thumbs_up,thumbs_down,type_expression,valence_emotionnelle,intensite,energie,physiologie,tonalite,dimension_temporelle
772,[8‑bit chiptune],Speaker sounds like 8-bit chiptune,Effects,6,4,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
185,[abandoned building],Speaker sounds like they are in an abandoned building,Environment,10,2,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
935,[absurd punchline],Speaker delivers an absurd comedic punchline,Humor,9,3,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
425,[absurdist narration],Speaker uses absurd narrative approach,Narrative,15,5,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
514,[absurdist],Speaker sounds like they are in an absurdist story,Genre,4,2,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1438,[academic],Speaker speaks with scholarly tone,Styles,8,2,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1508,[accelerando],Gradually faster,Rhythm,13,2,rythme_tempo,neutre,modere,moyenne,non_applicable,non_applicable,rapide
978,[accented pun],Speaker makes puns using accents,Humor,14,4,humour,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
326,[aching knee],Speaker sounds like their knees are aching,Body States,11,2,etat_physique,negatif,modere,moyenne,douleur,non_applicable,non_applicable
255,[aching],Speaker sounds like they are in pain,Body States,13,4,etat_physique,negatif,modere,moyenne,douleur,non_applicable,non_applicable
1648,[achoo],Sneeze sound,Vocal Effects,12,3,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1417,[ad-libbed],Speaker speaks without preparation,Styles,12,3,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1705,[adoring],Deeply loving,Emotion,14,4,emotion,positif,fort,moyenne,non_applicable,non_applicable,non_applicable
408,[adult story tone],Speaker uses mature narrative style,Narrative,4,1,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
533,[adventure],Speaker sounds like they are on an adventure,Genre,14,4,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
391,[advice tone],Speaker uses advisory narrative style,Narrative,6,1,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1612,[aha],Discovery or understanding,Vocal Effects,11,3,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1658,[ahem],Attention-getting cough,Vocal Effects,14,3,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1607,[ahh],Understanding or relief,Vocal Effects,13,3,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
577,[AI rebellion],Speaker sounds like they are in an AI rebellion story,Genre,5,1,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1176,[airplane],Sound of airplane flying overhead,Sound Effects,11,3,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
172,[airport ambient],Speaker sounds like they are in an airport environment,Environment,5,1,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
173,[airport announcement],Speaker sounds like they are hearing airport announcements,Environment,7,3,environnement_acoustique,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1172,[alarm clock],Sound of alarm clock beeping,Sound Effects,6,2,effet_sonore,negatif,modere,non_applicable,non_applicable,non_applicable,non_applicable
733,[alarm modulation],Speaker sounds like alarm modulation effect,Effects,13,4,effet_technique,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
489,[alien encounter],Speaker sounds like they are encountering aliens,Genre,10,2,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
493,[alternate history],Speaker sounds like they are in an alternate timeline,Genre,6,2,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
796,[ambi mic],Speaker sounds like ambient microphone,Effects,11,3,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1759,[amused],"Entertained, pleased",Emotion,2,1,emotion,positif,modere,moyenne,non_applicable,non_applicable,non_applicable
383,[analytical tone],Speaker uses analytical narrative approach,Narrative,9,2,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1450,[analytical],Speaker speaks with logical analysis,Styles,10,3,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1719,[angry],"Hostile, upset",Emotion,6,2,emotion,negatif,fort,moyenne,non_applicable,non_applicable,non_applicable
1347,[animated],Speaker speaks with lively expression,Styles,14,4,style_parole,positif,modere,tres_haute,non_applicable,non_applicable,non_applicable
1717,[annoyed],"Bothered, vexed",Emotion,15,4,emotion,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
681,[anticipatory pause],Speaker pauses with anticipation,Dialogue,11,3,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1688,[anticipatory],"Expectant, waiting",Emotion,12,4,emotion,ambivalent,modere,moyenne,non_applicable,non_applicable,non_applicable
445,[anticlimactic reveal],Speaker deflates narrative tension,Narrative,14,4,narration,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
556,[antihero],Speaker sounds like they are in an antihero story,Genre,5,1,genre_narratif,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
17,[anxious midday],Speaker sounds worried and tense at midday,Mood,6,1,humeur_tonale,negatif,fort,moyenne,non_applicable,non_applicable,matin
1090,[anxious pause],Speaker pauses anxiously,Introspective,15,4,reflexif_interieur,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
1089,[anxious reflection],Speaker conveys anxious reflection,Introspective,15,4,reflexif_interieur,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
1091,[anxious tone],Speaker speaks with an anxious tone,Introspective,7,2,reflexif_interieur,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
1730,[anxious],"Worried, uneasy",Emotion,13,3,emotion,negatif,fort,moyenne,non_applicable,non_applicable,non_applicable
1781,[apathetic],Lacking interest,Emotion,5,1,emotion,ambivalent,modere,moyenne,non_applicable,non_applicable,non_applicable
607,[apologizes mid-sentence],Speaker apologizes while speaking,Dialogue,6,1,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1264,[applause],Sound of audience applauding,Sound Effects,9,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1598,[applause],Clapping audience,Vocal Effects,8,2,vocalisation_non_verbale,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1732,[apprehensive],Fearful anticipation,Emotion,8,3,emotion,ambivalent,modere,moyenne,non_applicable,non_applicable,non_applicable
774,[arcade beep],Speaker sounds like arcade machine beep,Effects,11,3,effet_technique,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1276,[arcade game],Sound of arcade game beeping,Sound Effects,7,2,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1241,[armor clanking],Sound of metal armor moving,Sound Effects,15,4,effet_sonore,neutre,modere,non_applicable,non_applicable,non_applicable,non_applicable
1804,[arrogant],"Conceited, superior",Emotion,14,4,emotion,ambivalent,modere,moyenne,non_applicable,non_applicable,non_applicable
1238,[arrow whoosh],Sound of arrow flying through air,Sound Effects,9,2,effet_sonore,neutre,modere,non_applicable,non_applicable,dure,non_applicable
1325,[articulate],Speaker speaks clearly and precisely,Styles,8,2,style_parole,neutre,modere,moyenne,non_applicable,non_applicable,matin
1108,[ashamed tone],Speaker speaks with an ashamed tone,Introspective,12,3,reflexif_interieur,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
1750,[ashamed],"Guilt, regret",Emotion,14,4,emotion,negatif,modere,moyenne,non_applicable,non_applicable,non_applicable
593,[asks bluntly],Speaker asks questions directly and bluntly,Dialogue,9,2,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
592,[asks politely],Speaker asks questions politely,Dialogue,14,4,dialogue,neutre,modere,moyenne,non_applicable,non_applicable,non_applicable
1355,[assertive],Speaker speaks confidently and firmly,Styles,7,2,style_parole,positif,fort,moyenne,non_applicable,non_applicable,non_applicable
